Episode,Total Reward,Epsilon,Time (s)
214,-1.7,0.01,76.4
215,-8.4,0.01,76.5
216,-5.3,0.01,77.0
217,-6.2,0.01,77.4
218,-4.9,0.01,77.9
219,-6.1,0.01,78.3
220,-4.3,0.01,78.8
221,-8.1,0.01,79.0
222,1.0,0.01,79.2
223,-8.3,0.01,79.3
224,-6.2,0.01,79.7
225,-6.7,0.01,80.1
226,-8.8,0.01,80.2
227,-6.2,0.01,80.6
228,-4.4,0.01,81.1
229,-8.1,0.01,81.3
230,-2.1,0.01,82.1
231,-3.5,0.01,82.8
232,1.6,0.01,83.0
233,21.0,0.01,85.0
234,4.5,0.01,86.4
235,-6.2,0.01,86.8
236,-7.5,0.01,87.1
237,-8.1,0.01,87.3
238,-9.1,0.01,87.4
239,-8.2,0.01,87.6
240,-8.1,0.01,87.8
241,-2.7,0.01,88.5
242,-3.2,0.01,89.2
243,-8.1,0.01,89.4
244,-9.0,0.01,89.5
245,-2.5,0.01,90.2
246,-9.0,0.01,90.3
247,-6.6,0.01,90.7
248,-6.8,0.01,91.0
249,-8.7,0.01,91.1
250,-6.3,0.01,91.5
251,-4.0,0.01,92.1
252,2.4,0.01,93.4
253,-2.3,0.01,94.1
254,6.8,0.01,94.8
255,-5.8,0.01,95.3
256,-8.1,0.01,95.5
257,-6.5,0.01,95.8
258,-7.2,0.01,96.1
259,-6.3,0.01,96.5
260,-9.1,0.01,96.6
261,-4.9,0.01,97.1
262,-4.8,0.01,97.6
263,-8.3,0.01,97.8
264,-6.5,0.01,98.2
265,-5.5,0.01,98.6
266,2.1,0.01,99.8
267,-7.0,0.01,100.1
268,6.5,0.01,100.8
269,-6.1,0.01,101.1
270,-7.1,0.01,101.4
271,-8.1,0.01,101.6
272,3.8,0.01,102.0
273,-6.4,0.01,102.4
274,-9.0,0.01,102.5
275,-6.3,0.01,102.9
276,-2.7,0.01,103.6
277,-7.1,0.01,103.9
278,-2.1,0.01,104.7
279,-7.8,0.01,104.9
280,13.9,0.01,107.3
281,-9.1,0.01,107.4
282,-8.2,0.01,107.6
283,-5.3,0.01,108.1
284,-9.0,0.01,108.2
285,-8.3,0.01,108.4
286,-6.3,0.01,108.8
287,-5.7,0.01,109.2
288,-9.0,0.01,109.3
289,-9.0,0.01,109.4
290,-6.5,0.01,109.8
291,-7.3,0.01,110.1
292,-8.1,0.01,110.3
293,-3.1,0.01,110.9
294,-7.2,0.01,111.2
295,14.5,0.01,112.7
296,17.8,0.01,115.4
297,-7.1,0.01,115.7
298,-9.0,0.01,115.8
299,-5.7,0.01,116.2
300,-6.7,0.01,116.5
301,-6.1,0.01,116.9
302,-7.5,0.01,117.2
303,-5.7,0.01,117.6
304,-5.0,0.01,118.1
305,-8.5,0.01,118.3
306,-8.3,0.01,118.5
307,-4.2,0.01,119.1
308,-7.3,0.01,119.4
309,-7.8,0.01,119.6
310,-6.5,0.01,119.9
311,-3.0,0.01,120.6
312,-7.5,0.01,120.9
313,-6.3,0.01,121.2
314,4.1,0.01,121.7
315,-6.2,0.01,122.1
316,-9.1,0.01,122.2
317,-9.0,0.01,122.3
318,-8.0,0.01,122.5
319,-9.1,0.01,122.6
320,-8.8,0.01,122.7
321,-4.9,0.01,123.2
322,-8.2,0.01,123.4
323,-6.5,0.01,123.7
324,-8.2,0.01,123.9
325,-8.2,0.01,124.1
326,-7.8,0.01,124.3
327,-8.9,0.01,124.4
328,-3.3,0.01,125.1
329,-2.8,0.01,125.8
330,-7.1,0.01,126.1
331,-9.0,0.01,126.2
332,-8.1,0.01,126.4
333,-9.0,0.01,126.6
334,-8.6,0.01,126.7
335,-8.4,0.01,126.9
336,-9.1,0.01,127.0
337,-8.2,0.01,127.2
338,-6.8,0.01,127.5
339,-6.4,0.01,127.9
340,-0.4,0.01,128.8
341,-6.8,0.01,129.1
342,-8.1,0.01,129.3
343,-8.9,0.01,129.4
344,-8.3,0.01,129.6
345,-9.0,0.01,129.7
346,-6.3,0.01,130.1
347,-4.5,0.01,130.7
348,-5.4,0.01,131.1
349,-8.2,0.01,131.3
350,-6.6,0.01,131.7
351,-6.1,0.01,132.1
352,-5.0,0.01,132.6
353,-7.0,0.01,132.9
354,-6.8,0.01,133.2
355,-7.9,0.01,133.4
356,-7.9,0.01,133.7
357,-9.1,0.01,133.8
358,-5.1,0.01,134.2
359,-8.4,0.01,134.4
360,-8.1,0.01,134.6
361,-8.8,0.01,134.7
362,-9.1,0.01,134.8
363,-4.3,0.01,135.4
364,-9.1,0.01,135.5
365,9.7,0.01,136.5
366,-8.6,0.01,136.6
367,-5.0,0.01,137.2
368,-7.4,0.01,137.5
369,27.2,0.01,141.3
370,-8.6,0.01,141.4
371,-8.7,0.01,141.6
372,-6.1,0.01,142.0
373,-7.1,0.01,142.3
374,-6.5,0.01,142.6
375,-9.1,0.01,142.7
376,-8.9,0.01,142.8
377,-9.1,0.01,142.9
378,3.1,0.01,143.3
379,-6.8,0.01,143.6
380,-7.3,0.01,143.9
381,-8.8,0.01,144.0
382,-5.2,0.01,144.5
383,-4.3,0.01,145.1
384,-4.2,0.01,145.6
385,-8.2,0.01,145.8
386,-6.3,0.01,146.2
387,1.7,0.01,146.4
388,-4.9,0.01,146.9
389,-6.5,0.01,147.3
390,-3.2,0.01,147.9
391,-8.8,0.01,148.1
392,-8.1,0.01,148.3
393,-8.1,0.01,148.5
394,-7.0,0.01,148.8
395,-7.7,0.01,149.0
396,-7.7,0.01,149.2
397,-6.7,0.01,149.6
398,-7.0,0.01,149.9
399,-5.3,0.01,150.3
400,-7.0,0.01,150.7
401,-9.1,0.01,150.8
402,-8.3,0.01,150.9
403,-9.1,0.01,151.0
404,-8.4,0.01,151.2
405,-8.2,0.01,151.4
406,-2.6,0.01,152.1
407,4.7,0.01,152.6
408,-8.1,0.01,152.8
409,-9.1,0.01,152.9
410,-9.1,0.01,153.0
411,6.1,0.01,154.6
412,-6.3,0.01,155.0
413,-9.1,0.01,155.1
414,-8.8,0.01,155.2
415,-5.5,0.01,155.7
416,-9.0,0.01,155.8
417,-3.8,0.01,156.4
418,-8.0,0.01,156.6
419,-8.4,0.01,156.8
420,-8.2,0.01,157.0
421,-8.1,0.01,157.2
422,-5.0,0.01,157.7
423,-4.6,0.01,158.2
424,0.8,0.01,158.3
425,-7.0,0.01,158.6
426,-4.0,0.01,159.3
427,-8.3,0.01,159.4
428,-8.1,0.01,159.6
429,-9.0,0.01,159.7
430,-9.1,0.01,159.8
431,-8.6,0.01,160.0
432,-6.7,0.01,160.3
433,-8.3,0.01,160.5
434,-9.0,0.01,160.6
435,-2.5,0.01,161.4
436,1.8,0.01,161.6
437,-7.0,0.01,161.9
438,-2.0,0.01,162.7
439,-6.2,0.01,163.0
440,-8.2,0.01,163.2
441,-8.7,0.01,163.4
442,-6.2,0.01,163.8
443,-9.1,0.01,163.9
444,-6.0,0.01,164.3
445,3.8,0.01,165.6
446,-9.1,0.01,165.7
447,-3.6,0.01,166.4
448,-5.9,0.01,166.8
449,5.2,0.01,167.3
450,-2.4,0.01,168.1
451,-6.1,0.01,168.5
452,-6.0,0.01,168.9
453,-7.1,0.01,169.2
454,-7.9,0.01,169.4
455,-9.0,0.01,169.5
456,-3.6,0.01,170.2
457,-8.1,0.01,170.4
458,-9.1,0.01,170.5
459,-8.2,0.01,170.7
460,-8.8,0.01,170.9
461,-8.1,0.01,171.1
462,-9.1,0.01,171.2
463,-8.7,0.01,171.3
464,-6.1,0.01,171.7
465,-6.4,0.01,172.1
466,-8.0,0.01,172.3
467,-6.3,0.01,172.7
468,-1.2,0.01,173.5
469,-6.2,0.01,173.9
470,-7.0,0.01,174.2
471,-5.3,0.01,174.7
472,-5.9,0.01,175.1
473,-8.4,0.01,175.3
474,-7.1,0.01,175.6
475,-6.6,0.01,175.9
476,-7.1,0.01,176.2
477,-7.7,0.01,176.5
478,6.4,0.01,177.1
479,-9.0,0.01,177.2
480,-7.9,0.01,177.5
481,-9.1,0.01,177.6
482,-4.4,0.01,178.1
483,-5.5,0.01,178.6
484,-8.7,0.01,178.7
485,-8.6,0.01,178.9
486,-0.1,0.01,179.9
487,-8.2,0.01,180.1
488,-9.0,0.01,180.2
489,-8.6,0.01,180.3
490,-8.1,0.01,180.5
491,-8.4,0.01,180.7
492,9.3,0.01,182.6
493,-8.4,0.01,182.8
494,-6.0,0.01,183.2
495,-8.7,0.01,183.3
496,-5.3,0.01,183.8
497,-9.1,0.01,183.9
498,-5.3,0.01,184.4
499,-9.1,0.01,184.5
500,-5.6,0.01,184.9
501,-7.1,0.01,185.2
502,-8.5,0.01,185.4
503,-8.1,0.01,185.6
504,-4.8,0.01,186.1
505,-7.6,0.01,186.4
506,-7.6,0.01,186.6
507,-7.5,0.01,186.9
508,7.5,0.01,187.6
509,-9.0,0.01,187.7
510,-8.9,0.01,187.9
511,-8.1,0.01,188.1
512,-9.1,0.01,188.2
513,-8.8,0.01,188.3
514,-7.1,0.01,188.6
515,-5.0,0.01,189.1
516,-9.1,0.01,189.2
517,-5.1,0.01,189.7
518,-6.2,0.01,190.1
519,-8.7,0.01,190.2
520,-7.1,0.01,190.5
521,-9.1,0.01,190.6
522,-5.5,0.01,191.1
523,-7.2,0.01,191.4
524,-8.0,0.01,191.6
525,-9.0,0.01,191.7
526,-6.3,0.01,192.1
527,-3.1,0.01,192.8
528,-7.9,0.01,193.0
529,-7.5,0.01,193.3
530,-8.3,0.01,193.4
531,-9.1,0.01,193.5
532,-7.6,0.01,193.8
533,-5.2,0.01,194.3
534,-4.9,0.01,194.8
535,-7.2,0.01,195.1
536,2.9,0.01,196.4
537,0.8,0.01,196.5
538,-8.5,0.01,196.6
539,4.5,0.01,197.1
540,-7.0,0.01,197.4
541,-8.5,0.01,197.6
542,-7.1,0.01,197.9
543,-5.4,0.01,198.3
544,-6.2,0.01,198.7
545,-8.5,0.01,198.9
546,-6.6,0.01,199.2
547,-8.9,0.01,199.3
548,-9.1,0.01,199.4
549,-9.0,0.01,199.6
550,-8.3,0.01,199.7
551,-8.2,0.01,199.9
552,-8.2,0.01,200.1
553,-4.5,0.01,200.7
554,-8.1,0.01,200.9
555,-8.8,0.01,201.0
556,-6.1,0.01,201.4
557,-6.9,0.01,201.7
558,-8.7,0.01,201.9
559,-6.4,0.01,202.2
560,-9.0,0.01,202.3
561,-9.0,0.01,202.4
562,-9.0,0.01,202.6
563,5.1,0.01,203.1
564,-9.1,0.01,203.2
565,-7.6,0.01,203.4
566,-9.1,0.01,203.5
567,-7.9,0.01,203.7
568,-7.9,0.01,204.0
569,-9.1,0.01,204.1
570,-9.1,0.01,204.2
571,-6.1,0.01,204.6
572,-6.4,0.01,204.9
573,-7.5,0.01,205.2
574,-8.4,0.01,205.4
575,-9.1,0.01,205.5
576,-5.3,0.01,205.9
577,-4.9,0.01,206.4
578,-8.0,0.01,206.7
579,-8.5,0.01,206.8
580,-9.1,0.01,206.9
581,-6.5,0.01,207.3
582,-8.9,0.01,207.4
583,-7.8,0.01,207.6
584,-8.0,0.01,207.8
585,3.6,0.01,208.2
586,10.0,0.01,210.2
587,-7.4,0.01,210.5
588,-8.8,0.01,210.6
589,-8.6,0.01,210.8
590,-9.0,0.01,210.9
591,-7.4,0.01,211.2
592,-5.6,0.01,211.6
593,-5.5,0.01,212.1
594,-2.6,0.01,212.8
595,-9.1,0.01,212.9
596,-8.5,0.01,213.1
597,-8.5,0.01,213.2
598,-8.5,0.01,213.4
599,-8.9,0.01,213.5
600,-8.9,0.01,213.7
601,-7.7,0.01,213.9
602,3.3,0.01,214.3
603,-8.1,0.01,214.5
604,-7.9,0.01,214.7
605,-8.6,0.01,214.8
606,-8.8,0.01,215.0
607,-6.2,0.01,215.4
608,-9.0,0.01,215.5
609,-8.4,0.01,215.6
610,-8.2,0.01,215.8
611,3.4,0.01,216.2
612,-7.5,0.01,216.4
613,-4.8,0.01,217.0
614,-8.6,0.01,217.1
615,-5.2,0.01,217.6
616,-4.2,0.01,218.2
617,-9.1,0.01,218.3
618,-9.1,0.01,218.4
619,-7.4,0.01,218.7
620,-1.9,0.01,219.5
