Episode,Total Reward,Epsilon,Time (s)
924,-9.1,0.01,292.4
925,-9.0,0.01,292.5
926,-8.3,0.01,292.7
927,-8.9,0.01,292.8
928,-9.1,0.01,292.9
929,-9.0,0.01,293.0
930,-9.1,0.01,293.2
931,-6.8,0.01,293.5
932,-7.0,0.01,293.8
933,-9.1,0.01,293.9
934,-9.0,0.01,294.0
935,-9.1,0.01,294.1
936,-8.5,0.01,294.3
937,-9.1,0.01,294.4
938,-9.1,0.01,294.5
939,-7.4,0.01,294.8
940,-9.0,0.01,294.9
941,-8.5,0.01,295.1
942,-6.8,0.01,295.4
943,-9.1,0.01,295.5
944,-5.6,0.01,296.0
945,-9.1,0.01,296.1
946,-8.7,0.01,296.2
947,-7.2,0.01,296.5
948,-8.1,0.01,296.7
949,-8.5,0.01,296.9
950,-7.7,0.01,297.2
951,-9.0,0.01,297.3
952,-9.0,0.01,297.4
953,-6.5,0.01,297.8
954,6.2,0.01,298.4
955,-9.0,0.01,298.5
956,-8.1,0.01,298.7
957,-8.1,0.01,298.9
958,-8.2,0.01,299.1
959,-9.0,0.01,299.3
960,-8.9,0.01,299.4
961,-8.2,0.01,299.6
962,-8.3,0.01,299.8
963,1.7,0.01,300.0
964,-8.4,0.01,300.1
965,-8.4,0.01,300.3
966,-8.9,0.01,300.4
967,-9.1,0.01,300.5
968,-9.0,0.01,300.7
969,-9.1,0.01,300.8
970,-8.6,0.01,300.9
971,-9.0,0.01,301.0
972,-9.0,0.01,301.2
973,-9.0,0.01,301.3
974,-9.0,0.01,301.4
975,-9.0,0.01,301.5
976,-9.0,0.01,301.6
977,-7.5,0.01,301.9
978,-8.3,0.01,302.1
979,-8.3,0.01,302.3
980,-8.3,0.01,302.4
981,-9.0,0.01,302.6
982,-9.0,0.01,302.7
983,-9.0,0.01,302.8
984,-9.0,0.01,302.9
985,3.8,0.01,303.3
986,-9.0,0.01,303.4
987,-9.0,0.01,303.5
988,-8.1,0.01,303.8
989,-8.6,0.01,303.9
990,-8.6,0.01,304.1
991,-9.1,0.01,304.2
992,-9.0,0.01,304.3
993,0.7,0.01,305.4
994,-9.0,0.01,305.5
995,-8.6,0.01,305.7
996,-6.3,0.01,306.1
997,-9.0,0.01,306.2
998,-9.0,0.01,306.4
999,-9.0,0.01,306.5
1000,-9.0,0.01,306.6
